,CustomerID,Recency,Frequency,Monetary,R,F,M
1703,14646.0,1,77,279489.02,4,4,4
4233,18102.0,0,62,256438.49,4,4,4
3758,17450.0,8,55,187482.17,4,4,4
1895,14911.0,1,248,132572.62,4,4,4
55,12415.0,24,26,123725.45,3,4,4
1345,14156.0,9,66,113384.14,4,4,4
3801,17511.0,2,46,88125.38,4,4,4
3202,16684.0,4,31,65892.08,4,4,4
1005,13694.0,3,60,62653.1,4,4,4
2192,15311.0,0,118,59419.34,4,4,4
568,13089.0,2,118,57385.88,4,4,4
1300,14096.0,4,34,57120.91,4,4,4
1999,15061.0,3,55,54228.74,4,4,4
4125,17949.0,1,52,52750.84,4,4,4
2537,15769.0,7,29,51823.72,4,4,4
2722,16029.0,38,76,50992.61,3,4,4
1447,14298.0,3,45,50862.44,4,4,4
1295,14088.0,10,14,50415.49,4,4,4
4042,17841.0,1,169,40340.78,4,4,4
1078,13798.0,1,63,36351.42,4,4,4
3014,16422.0,17,75,33805.69,3,4,4
458,12931.0,21,20,33462.81,3,4,4
2708,16013.0,3,54,33366.25,4,4,4
2590,15838.0,11,21,33350.76,4,4,4
3712,17389.0,0,43,31300.08,4,4,4
3722,17404.0,4,18,30300.82,4,4,4
330,12748.0,0,224,29072.1,4,4,4
576,13098.0,1,41,28658.88,4,4,4
564,13081.0,1,21,27964.48,4,4,4
803,13408.0,1,81,27487.41,4,4,4
1728,14680.0,25,23,26932.34,3,4,4
4053,17857.0,3,25,26763.34,4,4,4
2945,16333.0,7,22,26626.8,4,4,4
1067,13777.0,0,41,25748.35,4,4,4
2522,15749.0,235,4,21535.9,1,3,4
2860,16210.0,1,18,21086.3,4,4,4
334,12753.0,3,11,21024.01,4,4,4
3704,17381.0,8,30,20272.43,4,4,4
3925,17675.0,1,41,20098.1,4,4,4
1980,15039.0,9,52,19786.44,4,4,4
318,12731.0,23,14,18793.41,3,4,4
100,12471.0,2,49,18740.92,4,4,4
2079,15159.0,1,34,18573.68,4,4,4
273,12678.0,42,13,17588.26,3,4,4
3741,17428.0,0,33,17078.45,4,4,4
1144,13881.0,3,22,16989.52,4,4,4
1062,13767.0,2,52,16945.71,4,4,4
450,12921.0,3,50,16389.74,4,4,4
436,12901.0,8,36,16293.1,4,4,4
3927,17677.0,1,43,16219.22,4,4,4
2603,15856.0,4,31,16173.67,4,4,4
2099,15189.0,1,53,15802.14,4,4,4
1268,14051.0,0,26,15477.34,4,4,4
3325,16839.0,8,39,15357.78,4,4,4
1251,14031.0,7,23,14634.64,4,4,4
2341,15513.0,31,22,14520.08,3,4,4
2798,16133.0,3,46,14305.66,4,4,4
1861,14866.0,10,13,14197.45,4,4,4
3215,16705.0,0,29,13946.13,4,4,4
276,12681.0,14,27,13677.59,4,4,4
226,12621.0,1,23,13612.07,4,4,4
71,12433.0,0,7,13375.87,4,4,4
157,12540.0,19,19,13309.04,3,4,4
106,12477.0,22,9,13117.01,3,4,4
3973,17735.0,2,19,13110.02,4,4,4
1420,14258.0,9,10,12650.08,4,4,4
