,ID,Restaurant,Address,Time,Price,District,negative,positive,cmt_Rate,total
0,1,Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,57.0,43.0,5.946000000000001,100.0
1,2,Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 23:59,5.000 - 40.000,Quận 1,1.0,0.0,5.2,1.0
2,3,Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,59.0,41.0,5.922000000000001,100.0
3,4,Bếp Chay 365,"Tầng 1, 35 Nguyễn Văn Tráng, P. Bến Thành, Quận 1, TP. HCM",,15.000 - 50.000,Quận 1,7.0,7.0,5.671428571428572,14.0
4,5,Bánh Canh Cua Linh,"80A Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",06:20 - 22:00,25.000 - 35.000,Quận 1,9.0,11.0,6.92,20.0
5,6,Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,45.000 - 140.000,Quận 1,10.0,4.0,4.914285714285714,14.0
6,7,Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",06:30 - 21:30,35.000 - 55.000,Quận 1,33.0,67.0,6.896,100.0
7,8,Há Cảo Đặc Biệt Nhà Thờ Đức Bà,"86 Nguyễn Du, Quận 1, TP. HCM",,5.000 - 20.000,Quận 1,1.0,3.0,7.15,4.0
8,9,Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,11.0,14.0,6.392,25.0
9,10,Hey Pelo - Original French Tacos - Trần Khắc Chân,"Số 60 Trần Khắc Chân, P.Tân Định, Quận 1, TP. HCM",,30.000 - 110.000,Quận 1,,,,
10,11,"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",,27.000 - 100.000,Quận 1,16.0,29.0,7.897777777777777,45.0
11,12,Chè Ngon Cô Ba - Cô Giang,"176 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 100.000,Quận 1,3.0,4.0,7.6,7.0
12,13,Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,20.0,19.0,6.635897435897436,39.0
13,14,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,44.0,56.0,6.502000000000001,100.0
14,15,HỦ TÍU NAM VANG DÌ SƯƠNG,"60 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,1.0,2.0,8.333333333333334,3.0
15,16,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,"15E Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,41.0,59.0,6.3660000000000005,100.0
16,17,Marukame Udon - Udon & Tempura - Hai Bà Trưng,"342 - 344 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,29.0,71.0,6.994,100.0
17,18,Xôi Gà Tân Định 310 - Hai Bà Trưng,"297 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,50.0,39.0,5.770786516853933,89.0
18,19,Bò Bía Lý,"120E Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,5.000 - 5.000,Quận 1,50.0,50.0,7.034,100.0
19,20,Nem Nướng D'ran - Since 1968 - Nguyễn Thị Minh Khai,"17/7B Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,40.000 - 70.000,Quận 1,16.0,84.0,9.166,100.0
20,21,Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,11.0,10.0,6.476190476190476,21.0
21,22,Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,Quận 1,2.0,4.0,7.266666666666667,6.0
22,23,Marukame Udon - Udon & Tempura - Lý Tự Trọng,"215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,32.0,68.0,6.956,100.0
23,24,Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 25.000,Quận 1,3.0,3.0,6.633333333333333,6.0
24,25,LALA Salad - Healthy Food - Nguyễn Cảnh Chân,"TK33/23 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",,25.000 - 200.000,Quận 1,3.0,6.0,7.911111111111111,9.0
25,26,Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,20.000 - 33.000,Quận 1,36.0,64.0,6.946000000000001,100.0
26,27,Phú Bến Tre - Hủ Tiếu Mực & Bún Thái Hải Sản,"2Bis Mai Thị Lựu, P. Dakao, Quận 1, TP. HCM",06:30 - 21:00,30.000 - 50.000,Quận 1,1.0,3.0,7.55,4.0
27,28,"Chú Phúc - Mì Xào, Nui Xào & Cơm Chiên","Hẻm Công Viên 173 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM, Quận 1, TP. HCM",,35.000 - 50.000,Quận 1,0.0,1.0,8.0,1.0
28,29,Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",,0 - 0,Quận 1,1.0,0.0,5.0,1.0
29,30,Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 280.000,Quận 1,35.0,65.0,7.55,100.0
